condition,drugName,rating,usefulCount
Birth Control,Microgestin Fe 1.5 / 30,2,4
Birth Control,Junel Fe 1.5 / 30,10,4
Depression,Fluoxetine,10,154
Birth Control,Ethinyl estradiol / norethindrone,6,0
Birth Control,Desogestrel / ethinyl estradiol,1,0
Birth Control,ParaGard,9,12
High Blood Pressure,Nebivolol,2,42
High Blood Pressure,Edarbi,3,13
"Diabetes, Type 2",Insulin glargine,5,10
Depression,Deplin,10,172
"Diabetes, Type 2",Invokana,1,17
Depression,Lexapro,6,20
Birth Control,Quasense,8,16
Birth Control,Depo-Provera,10,5
Depression,Trintellix,8,89
High Blood Pressure,Hydrochlorothiazide,9,165
Birth Control,Levonorgestrel,10,5
Birth Control,Nexplanon,10,2
Birth Control,Etonogestrel,2,13
Birth Control,Tri-Lo-Sprintec,9,13
Birth Control,Implanon,4,1
"Diabetes, Type 2",Glimepiride,10,46
Depression,Lexapro,5,24
Birth Control,Mirena,10,2
Depression,Viibryd,10,22
Depression,Lexapro,7,4
Birth Control,Lo Loestrin Fe,3,6
High Blood Pressure,Losartan,5,109
Birth Control,Lessina,1,0
Depression,Cymbalta,9,55
Birth Control,Ethinyl estradiol / norethindrone,10,13
Birth Control,Skyla,8,4
Depression,Celexa,7,7
Birth Control,Ethinyl estradiol / norgestimate,1,3
Depression,Bupropion,10,18
Birth Control,NuvaRing,9,13
Depression,Celexa,7,37
Birth Control,Etonogestrel,10,4
Birth Control,Ethinyl estradiol / norgestimate,1,1
Birth Control,Ethinyl estradiol / norgestimate,10,10
Birth Control,Etonogestrel,4,0
Birth Control,Nexplanon,10,7
Birth Control,Levonorgestrel,9,14
Depression,Sertraline,10,99
Birth Control,Etonogestrel,10,6
Birth Control,Levora,10,5
Birth Control,Ethinyl estradiol / norethindrone,8,10
Birth Control,Tri-Sprintec,10,7
"Diabetes, Type 2",Saxagliptin,6,62
"Diabetes, Type 2",Lantus,1,4
Birth Control,Implanon,10,1
Birth Control,Levora,8,24
Birth Control,TriNessa,10,4
Birth Control,Etonogestrel,3,4
Depression,Abilify,1,14
Birth Control,Levonorgestrel,8,1
Depression,Desvenlafaxine,9,343
Birth Control,Levonorgestrel,8,9
Birth Control,Nexplanon,8,8
Birth Control,Azurette,9,3
Depression,Mirtazapine,6,81
Birth Control,ParaGard,1,1
Depression,Lexapro,3,36
Birth Control,Medroxyprogesterone,10,4
"Diabetes, Type 2",Metformin,10,91
Depression,Trintellix,3,20
Birth Control,Ethinyl estradiol / norethindrone,1,6
Birth Control,Mirena,2,2
Birth Control,Etonogestrel,6,1
Birth Control,Etonogestrel,9,6
Depression,Alprazolam,9,60
Birth Control,Nexplanon,7,6
"Diabetes, Type 2",Lantus Solostar,6,3
Birth Control,Ethinyl estradiol / norethindrone,10,2
Depression,Effexor,1,16
Birth Control,Depo-Provera,10,3
High Blood Pressure,Lisinopril,9,30
Depression,Vortioxetine,3,17
Birth Control,Levonorgestrel,7,15
Depression,Citalopram,1,2
Birth Control,Ethinyl estradiol / levonorgestrel,4,16
Birth Control,Loryna,9,2
Birth Control,NuvaRing,2,4
Birth Control,Sprintec,10,1
Depression,Bupropion,1,6
Depression,Vortioxetine,9,4
Birth Control,Ethinyl estradiol / levonorgestrel,3,7
Depression,Sertraline,1,18
Birth Control,Ethinyl estradiol / norethindrone,2,4
High Blood Pressure,Azor,10,62
Birth Control,Chateal,9,18
Birth Control,Aviane,2,5
Birth Control,Ethinyl estradiol / levonorgestrel,8,12
Birth Control,Etonogestrel,8,6
Birth Control,Etonogestrel,9,6
Depression,Tramadol,9,58
Birth Control,Etonogestrel,1,10
Birth Control,Mirena,7,7
Birth Control,Etonogestrel,3,2
Depression,Desvenlafaxine,9,24
Birth Control,Levonorgestrel,6,5
Birth Control,Microgestin Fe 1 / 20,9,5
Depression,Wellbutrin XL,8,76
Birth Control,NuvaRing,10,13
Birth Control,NuvaRing,4,5
Birth Control,Ethinyl estradiol / levonorgestrel,2,2
Birth Control,Nexplanon,6,3
Birth Control,TriNessa Lo,6,3
Depression,Escitalopram,8,5
Birth Control,Levonorgestrel,2,3
Birth Control,Alesse,1,0
Depression,Quetiapine,10,111
Depression,Viibryd,1,17
Birth Control,Ethinyl estradiol / levonorgestrel,7,1
Birth Control,Etonogestrel,10,24
Depression,Mirtazapine,2,12
Birth Control,Ethinyl estradiol / norgestimate,1,5
Depression,Prozac,8,81
Birth Control,Desogestrel / ethinyl estradiol,10,1
Depression,Mirtazapine,3,15
Birth Control,Ethinyl estradiol / norethindrone,1,0
Birth Control,Levonorgestrel,9,5
Depression,Wellbutrin,7,187
"Diabetes, Type 2",Jardiance,6,43
Depression,Vilazodone,1,11
Depression,Trintellix,7,61
Birth Control,Ethinyl estradiol / norgestimate,7,3
Birth Control,Etonogestrel,9,8
High Blood Pressure,Amlodipine,3,168
Birth Control,Levonorgestrel,3,1
Depression,Desvenlafaxine,1,13
Birth Control,Copper,1,5
Birth Control,Microgestin Fe 1 / 20,8,7
Birth Control,Medroxyprogesterone,10,3
Depression,Wellbutrin,10,40
Depression,Cymbalta,9,344
Depression,Vortioxetine,1,52
Birth Control,TriNessa,9,23
Birth Control,Medroxyprogesterone,8,1
Birth Control,Yaz,2,10
Birth Control,Ethinyl estradiol / levonorgestrel,3,4
Birth Control,Mirena,8,6
Birth Control,Levonorgestrel,10,4
Depression,Cymbalta,10,71
Birth Control,Lutera,8,9
Depression,Desvenlafaxine,9,71
Birth Control,Ethinyl estradiol / norethindrone,10,105
Birth Control,Levonorgestrel,1,0
High Blood Pressure,Lisinopril,1,37
Birth Control,Ethinyl estradiol / norethindrone,1,2
Depression,Deplin,1,64
Birth Control,Estarylla,2,8
Birth Control,Drospirenone / ethinyl estradiol,1,9
"Diabetes, Type 2",Exenatide,10,68
Birth Control,Ethinyl estradiol / levonorgestrel,4,1
Depression,Duloxetine,5,5
Depression,Lexapro,7,10
Birth Control,Drospirenone / ethinyl estradiol,1,4
"Diabetes, Type 2",Dulaglutide,2,27
Birth Control,Ethinyl estradiol / norethindrone,7,2
Birth Control,Ethinyl estradiol / levonorgestrel,5,0
Depression,Sertraline,3,24
Birth Control,Ethinyl estradiol / norelgestromin,6,3
Birth Control,Ethinyl estradiol / levonorgestrel,5,20
Birth Control,Etonogestrel,3,7
Birth Control,Drospirenone / ethinyl estradiol,8,3
Birth Control,Ortho Tri-Cyclen Lo,1,10
Birth Control,Copper,3,1
Birth Control,Nexplanon,7,0
Birth Control,Implanon,3,1
Depression,Venlafaxine,7,16
Depression,Remeron,9,81
Birth Control,Etonogestrel,9,0
High Blood Pressure,Amlodipine,2,118
Depression,Pristiq,1,6
Birth Control,Medroxyprogesterone,1,8
Birth Control,Mirena,9,49
Birth Control,Levonorgestrel,9,3
"Diabetes, Type 2",NovoLog Mix 70 / 30,10,12
Birth Control,Ethinyl estradiol / norethindrone,9,13
Birth Control,Ethinyl estradiol / levonorgestrel,5,5
Depression,Trintellix,5,38
Depression,Celexa,9,84
Birth Control,Etonogestrel,10,4
Birth Control,Ethinyl estradiol / levonorgestrel,10,33
Birth Control,Drospirenone / ethinyl estradiol,8,4
Birth Control,Errin,2,5
Depression,Wellbutrin,10,144
"Diabetes, Type 2",Bydureon,9,19
High Blood Pressure,Carvedilol,10,70
Birth Control,Implanon,1,5
Birth Control,Levora,5,9
"Diabetes, Type 2",Victoza,4,14
Birth Control,Ethinyl estradiol / norgestimate,10,5
Birth Control,Levonorgestrel,10,17
Depression,Duloxetine,2,17
Depression,Bupropion,10,171
Depression,Quetiapine,10,91
Birth Control,ParaGard,3,11
Depression,Duloxetine,3,14
Birth Control,Etonogestrel,7,4
Birth Control,Ethinyl estradiol / norethindrone,6,10
Birth Control,Medroxyprogesterone,9,11
Birth Control,Ethinyl estradiol / norgestimate,10,3
Birth Control,Etonogestrel,9,3
Depression,Aripiprazole,4,3
Birth Control,Levonorgestrel,9,15
Birth Control,Etonogestrel,6,4
Depression,Effexor,1,18
Birth Control,LoSeasonique,9,2
Birth Control,Copper,10,4
Depression,Viibryd,1,14
Birth Control,Sprintec,1,5
Depression,Tramadol,8,1
Birth Control,Camrese,2,1
Birth Control,Desogestrel / ethinyl estradiol,1,3
Birth Control,Blisovi 24 Fe,2,8
Birth Control,Medroxyprogesterone,2,10
High Blood Pressure,Valsartan,3,0
"Diabetes, Type 2",Trulicity,4,22
Birth Control,Ethinyl estradiol / levonorgestrel,4,4
Birth Control,Ethinyl estradiol / norethindrone,9,6
Birth Control,Levonorgestrel,8,1
Birth Control,Ethinyl estradiol / levonorgestrel,9,4
Depression,L-methylfolate,7,6
Depression,Wellbutrin,10,15
Birth Control,Etonogestrel,10,6
Birth Control,Lybrel,6,6
Birth Control,Etonogestrel,5,0
Birth Control,ParaGard,9,12
Birth Control,Etonogestrel,10,0
High Blood Pressure,Norvasc,2,92
Birth Control,Levonorgestrel,1,13
Depression,Lamotrigine,10,87
Birth Control,Ethinyl estradiol / levonorgestrel,8,19
Birth Control,Etonogestrel,10,8
Birth Control,Ethinyl estradiol / levonorgestrel,3,8
Depression,Trintellix,7,27
"Diabetes, Type 2",Invokana,10,42
Birth Control,Ethinyl estradiol / norethindrone,10,9
Birth Control,Ethinyl estradiol / levonorgestrel,2,0
Birth Control,Etonogestrel,4,10
Birth Control,Mononessa,6,1
Depression,Vortioxetine,7,23
Birth Control,Etonogestrel,5,2
Birth Control,Drospirenone / ethinyl estradiol,8,6
Depression,Duloxetine,9,344
Birth Control,Lo Loestrin Fe,1,17
Birth Control,Ethinyl estradiol / norethindrone,2,10
Birth Control,Ethinyl estradiol / norgestimate,2,0
Depression,Zoloft,9,20
Birth Control,Mirena,10,18
Birth Control,Etonogestrel,7,1
Birth Control,Etonogestrel,1,1
Birth Control,Ethinyl estradiol / norethindrone,10,13
Birth Control,Ethinyl estradiol / norethindrone,9,5
Birth Control,Ethinyl estradiol / norethindrone,4,4
Birth Control,Gildess Fe 1 / 20,1,2
Birth Control,Junel Fe 1 / 20,10,7
Birth Control,Ethinyl estradiol / levonorgestrel,6,5
Birth Control,NuvaRing,1,6
Birth Control,Ortho Tri-Cyclen,5,4
High Blood Pressure,Losartan,6,65
Birth Control,Ethinyl estradiol / norethindrone,10,0
Birth Control,Nexplanon,10,20
Depression,Lamotrigine,9,103
High Blood Pressure,Lasix,1,11
Depression,Bupropion,10,16
Birth Control,Ethinyl estradiol / norethindrone,8,4
"Diabetes, Type 2",Insulin detemir,8,2
Birth Control,Etonogestrel,8,6
High Blood Pressure,Amlodipine / olmesartan,10,18
Birth Control,Portia,2,15
Depression,Pristiq,3,13
Birth Control,Depo-Provera,3,12
Depression,Fluoxetine,9,10
Birth Control,Ethinyl estradiol / norethindrone,9,6
Birth Control,Ethinyl estradiol / norgestimate,2,1
Birth Control,Implanon,8,0
Birth Control,Ethinyl estradiol / norgestimate,5,2
Birth Control,Seasonique,10,2
"Diabetes, Type 2",Januvia,10,3
Depression,Vilazodone,7,79
Birth Control,Ethinyl estradiol / norgestrel,10,3
Birth Control,Nexplanon,7,2
Depression,Wellbutrin,10,40
Birth Control,Levora,9,2
Birth Control,Ethinyl estradiol / norethindrone,1,3
Birth Control,Implanon,10,0
Depression,Venlafaxine,8,34
Birth Control,Ethinyl estradiol / norethindrone,2,1
Birth Control,Etonogestrel,9,17
Birth Control,Microgestin Fe 1 / 20,1,7
Birth Control,Blisovi 24 Fe,1,4
Depression,Viibryd,10,23
Birth Control,Nexplanon,2,4
Depression,Vortioxetine,9,16
Birth Control,Ethinyl estradiol / levonorgestrel,10,73
"Diabetes, Type 2",Januvia,1,31
High Blood Pressure,Amlodipine / olmesartan,10,38
Birth Control,Estarylla,1,3
Birth Control,Blisovi Fe 1 / 20,8,0
Depression,Escitalopram,10,34
Birth Control,Implanon,10,3
"Diabetes, Type 2",Insulin degludec,10,21
Birth Control,Microgestin Fe 1.5 / 30,10,4
Birth Control,Medroxyprogesterone,1,1
Birth Control,Reclipsen,9,6
Birth Control,Skyla,6,4
Birth Control,Ethinyl estradiol / norgestimate,1,3
Birth Control,Reclipsen,10,5
Birth Control,Ethinyl estradiol / etonogestrel,7,8
Birth Control,Mirena,9,0
Birth Control,Ortho Evra,5,9
Birth Control,Nexplanon,7,1
Birth Control,Lo Loestrin Fe,9,17
Birth Control,Ethinyl estradiol / norethindrone,7,6
Birth Control,Ethinyl estradiol / levonorgestrel,1,11
Depression,Bupropion,3,0
Birth Control,NuvaRing,10,5
Birth Control,Ethinyl estradiol / norelgestromin,1,5
Birth Control,Etonogestrel,3,0
Birth Control,Loestrin 24 Fe,6,79
Birth Control,Mononessa,9,6
Birth Control,Etonogestrel,7,1
Birth Control,Ortho Micronor,3,5
Depression,Bupropion,9,76
Birth Control,Implanon,8,7
Birth Control,Lutera,8,12
Birth Control,Xulane,8,4
Birth Control,Norethindrone,9,33
Depression,Fluoxetine,8,5
Depression,St. john's wort,10,71
Birth Control,Tri-Sprintec,1,3
Depression,Serzone,10,61
Birth Control,Ethinyl estradiol / norgestimate,9,5
Birth Control,Ortho Tri-Cyclen Lo,9,10
"Diabetes, Type 2",Trulicity,1,29
Birth Control,Ethinyl estradiol / norgestimate,1,1
Depression,Zoloft,8,90
Birth Control,Levonorgestrel,2,11
Birth Control,Lutera,5,18
Birth Control,Etonogestrel,3,4
Birth Control,Depo-Provera,1,2
Birth Control,Sprintec,9,11
Depression,Desvenlafaxine,10,57
Birth Control,Ethinyl estradiol / levonorgestrel,1,0
Birth Control,Mononessa,3,0
Birth Control,Skyla,7,3
Birth Control,Tri-Previfem,9,8
Depression,Strattera,3,17
Birth Control,Ethinyl estradiol / norethindrone,1,1
Birth Control,Etonogestrel,4,12
Depression,Escitalopram,10,26
Birth Control,Levonorgestrel,10,4
Birth Control,Ethinyl estradiol / norgestimate,1,12
High Blood Pressure,Lisinopril,9,10
Birth Control,Etonogestrel,9,3
Birth Control,Implanon,1,4
Birth Control,Ethinyl estradiol / norethindrone,6,4
Depression,Viibryd,2,20
Birth Control,Implanon,9,4
Birth Control,Microgestin Fe 1 / 20,7,24
Birth Control,Ortho Tri-Cyclen,4,17
Depression,Xanax,9,170
Birth Control,Ethinyl estradiol / norethindrone,10,11
Birth Control,Tri-Sprintec,4,7
Birth Control,Nexplanon,9,6
Depression,Sertraline,7,47
Birth Control,Ethinyl estradiol / etonogestrel,5,0
Depression,Trazodone,2,57
Depression,Emsam,7,52
Birth Control,Etonogestrel,10,7
Birth Control,Etonogestrel,10,0
Depression,Risperdal,2,83
Depression,Cymbalta,2,65
High Blood Pressure,Bystolic,1,91
Birth Control,Tri-Sprintec,3,4
Birth Control,Ethinyl estradiol / norgestimate,1,4
Birth Control,Skyla,9,2
"Diabetes, Type 2",Victoza,7,27
Birth Control,Mibelas 24 Fe,1,0
Depression,Venlafaxine,10,16
High Blood Pressure,Nebivolol,10,34
Birth Control,Ethinyl estradiol / levonorgestrel,3,5
Depression,Desvenlafaxine,8,9
Birth Control,TriNessa,8,9
Depression,Citalopram,8,5
Birth Control,Beyaz,10,62
Depression,Zoloft,1,20
Birth Control,Mirena,9,55
Birth Control,Mirena,8,1
Birth Control,Yaz,9,17
Birth Control,Lo Loestrin Fe,8,4
Birth Control,Tri-Sprintec,1,1
Birth Control,Levonorgestrel,7,1
Birth Control,Etonogestrel,2,16
Birth Control,Drospirenone / ethinyl estradiol / levomefolate calcium,3,0
Depression,Bupropion,10,5
Birth Control,Etonogestrel,7,6
Birth Control,Apri,1,2
Birth Control,Skyla,9,4
Birth Control,Levonorgestrel,10,1
Depression,Effexor,1,11
High Blood Pressure,Amlodipine,8,45
Birth Control,Nexplanon,8,6
Birth Control,Nexplanon,10,5
Birth Control,Mirena,10,7
Birth Control,Taytulla,1,0
"Diabetes, Type 2",Victoza,8,57
Birth Control,Ethinyl estradiol / norethindrone,8,5
High Blood Pressure,Losartan,7,40
Birth Control,Norethindrone,8,15
Depression,Vilazodone,10,49
Birth Control,Lo Loestrin Fe,5,2
High Blood Pressure,Azor,10,34
Birth Control,Copper,10,25
Birth Control,Ethinyl estradiol / norgestimate,2,3
Birth Control,Levonorgestrel,1,8
Birth Control,Kyleena,3,1
High Blood Pressure,Nifedipine,3,54
Birth Control,Desogestrel / ethinyl estradiol,1,2
Depression,Trintellix,5,20
Birth Control,Minastrin 24 Fe,9,17
Birth Control,Drospirenone / ethinyl estradiol,8,3
Depression,Pristiq,7,15
Birth Control,Etonogestrel,1,6
Birth Control,NuvaRing,8,3
High Blood Pressure,Losartan,1,47
Birth Control,Ethinyl estradiol / norethindrone,1,7
Birth Control,Drospirenone / ethinyl estradiol,10,12
Birth Control,Yaz,5,6
Birth Control,Ortho Evra,1,6
Birth Control,Liletta,7,0
Birth Control,Nexplanon,10,7
Birth Control,Etonogestrel,4,0
Birth Control,Drospirenone / ethinyl estradiol / levomefolate calcium,4,1
Birth Control,Mirena,5,5
Birth Control,Levonorgestrel,9,2
Birth Control,Nexplanon,7,1
Birth Control,Minastrin 24 Fe,10,2
Birth Control,TriNessa,8,7
High Blood Pressure,Amlodipine,2,83
"Diabetes, Type 2",Dapagliflozin,3,24
Birth Control,Ethinyl estradiol / levonorgestrel,10,1
"Diabetes, Type 2",Tanzeum,4,6
Birth Control,Nexplanon,10,8
Birth Control,Etonogestrel,3,2
Birth Control,TriNessa,2,13
"Diabetes, Type 2",Saxagliptin,10,40
Birth Control,Nexplanon,10,7
Birth Control,Depo-Provera,8,11
Depression,Vivactil,9,0
Birth Control,Ethinyl estradiol / norgestimate,6,9
Birth Control,Etonogestrel,1,5
Birth Control,Generess Fe,5,6
Depression,Escitalopram,10,10
Birth Control,Etonogestrel,8,6
Birth Control,Nexplanon,3,2
Birth Control,Ethinyl estradiol / norgestimate,10,6
Depression,Abilify,10,141
Depression,Viibryd,10,406
Birth Control,Generess Fe,5,8
Birth Control,Etonogestrel,6,7
Birth Control,Lo Loestrin Fe,8,13
Birth Control,Ethinyl estradiol / norelgestromin,8,4
Birth Control,Implanon,8,6
Birth Control,Etonogestrel,1,12
Birth Control,Etonogestrel,2,4
Birth Control,Aubra,10,0
Depression,Lexapro,7,15
Birth Control,Depo-Provera,1,3
Depression,Alprazolam,10,108
Birth Control,Levonorgestrel,2,0
Birth Control,Loestrin 24 Fe,10,0
Birth Control,Levonorgestrel,4,11
Birth Control,Mirena,2,25
Birth Control,NuvaRing,8,11
Birth Control,Ethinyl estradiol / norethindrone,10,19
Birth Control,Copper,10,10
Birth Control,Etonogestrel,3,6
Birth Control,Ethinyl estradiol / norgestimate,10,20
Depression,Duloxetine,2,64
Depression,Cymbalta,5,8
Depression,Vortioxetine,5,27
Birth Control,Nexplanon,5,3
Birth Control,ParaGard,1,7
Birth Control,Ethinyl estradiol / norethindrone,5,5
Birth Control,NuvaRing,9,2
Birth Control,Nexplanon,10,5
Birth Control,Etonogestrel,10,11
Birth Control,Kyleena,10,3
Birth Control,Sprintec,7,11
Depression,Escitalopram,8,60
Depression,Paxil,9,48
Depression,Prozac,5,25
Birth Control,Camila,3,0
Birth Control,Ortho Micronor,1,13
Birth Control,Tri-Previfem,4,4
Birth Control,Lutera,1,4
Depression,Viibryd,10,181
Birth Control,Levonorgestrel,9,5
Birth Control,Ethinyl estradiol / norelgestromin,8,4
Depression,Prozac,5,15
Depression,Desvenlafaxine,1,7
Birth Control,Jolivette,10,17
Birth Control,Desogestrel / ethinyl estradiol,4,6
Depression,Mirtazapine,8,30
"Diabetes, Type 2",Liraglutide,9,35
Depression,Celexa,8,110
Birth Control,Etonogestrel,1,0
Birth Control,Ethinyl estradiol / levonorgestrel,6,2
"Diabetes, Type 2",Glucophage,9,65
Depression,Sertraline,9,43
Birth Control,Etonogestrel,1,8
Birth Control,Medroxyprogesterone,7,8
Depression,Lamotrigine,10,2
Birth Control,Etonogestrel,7,3
Birth Control,Liletta,3,9
Depression,Duloxetine,9,56
Birth Control,Ethinyl estradiol / norethindrone,9,24
Depression,Vilazodone,1,32
Birth Control,Nexplanon,1,7
Birth Control,NuvaRing,5,1
Birth Control,Levonorgestrel,3,5
High Blood Pressure,Bystolic,1,10
Depression,Escitalopram,4,20
Depression,Celexa,10,18
Birth Control,Ethinyl estradiol / norgestimate,9,4
High Blood Pressure,Bisoprolol / hydrochlorothiazide,10,7
Depression,Escitalopram,5,6
Birth Control,Lessina,9,0
Birth Control,Ethinyl estradiol / norgestimate,8,6
Birth Control,Lo Loestrin Fe,10,8
Birth Control,Nexplanon,9,0
High Blood Pressure,Toprol-XL,5,41
Birth Control,Depo-Provera,1,4
Birth Control,Ethinyl estradiol / norgestrel,10,17
Depression,Venlafaxine,9,55
Birth Control,Tri-Sprintec,2,3
Birth Control,Lo Loestrin Fe,5,1
Birth Control,Ethinyl estradiol / norgestimate,6,2
Depression,Effexor,10,124
Birth Control,ParaGard,4,2
Depression,Doxepin,10,51
Depression,Vortioxetine,9,127
Depression,Rexulti,10,39
"Diabetes, Type 2",Lantus Solostar,9,28
Birth Control,Levonorgestrel,8,1
Birth Control,Medroxyprogesterone,1,2
Birth Control,Lyza,6,4
Birth Control,Levonorgestrel,5,4
"Diabetes, Type 2",Dulaglutide,1,18
Depression,Trintellix,5,31
Birth Control,Ethinyl estradiol / etonogestrel,8,2
Depression,Venlafaxine,10,34
Depression,Zoloft,8,36
Birth Control,Levonorgestrel,1,0
Birth Control,Medroxyprogesterone,1,7
Birth Control,Nexplanon,1,8
Birth Control,Etonogestrel,9,3
Depression,Sertraline,10,128
Birth Control,Etonogestrel,7,0
Birth Control,Lo Loestrin Fe,10,20
Birth Control,Microgestin Fe 1 / 20,9,22
Birth Control,Ethinyl estradiol / norgestimate,9,0
Birth Control,Lybrel,10,44
Birth Control,Sprintec,8,1
"Diabetes, Type 2",Invokana,10,26
Birth Control,Mirena,10,19
Birth Control,Ethinyl estradiol / etonogestrel,7,4
High Blood Pressure,Bystolic,1,29
Birth Control,Levonorgestrel,8,6
Birth Control,NuvaRing,8,8
Depression,Viibryd,9,63
Birth Control,Implanon,3,1
Depression,Wellbutrin,9,75
Birth Control,Copper,10,5
Birth Control,Apri,3,2
Birth Control,Junel Fe 1 / 20,2,4
Birth Control,Skyla,6,1
Birth Control,Yasmin,4,14
Depression,Citalopram,8,7
Depression,Pristiq,9,17
Birth Control,Ethinyl estradiol / norethindrone,7,32
Birth Control,Ethinyl estradiol / norgestimate,1,11
Birth Control,Skyla,7,0
Birth Control,Ethinyl estradiol / norgestimate,1,2
Depression,Cymbalta,1,6
Birth Control,Implanon,5,2
Birth Control,Levonorgestrel,10,1
"Diabetes, Type 2",Liraglutide,9,11
Birth Control,Skyla,8,8
Birth Control,Nexplanon,6,0
Birth Control,Etonogestrel,1,4
Birth Control,Drospirenone / ethinyl estradiol / levomefolate calcium,1,0
Birth Control,Lutera,1,3
Depression,Wellbutrin,8,22
Depression,Quetiapine,8,64
Birth Control,Ortho Tri-Cyclen Lo,1,7
Depression,Cymbalta,3,57
Birth Control,Microgestin Fe 1 / 20,9,13
Depression,Vortioxetine,1,31
Birth Control,Etonogestrel,2,7
Birth Control,Etonogestrel,1,3
"Diabetes, Type 2",Victoza,9,9
Birth Control,Tri-Lo-Sprintec,4,5
Birth Control,Seasonique,4,1
Birth Control,Nexplanon,2,20
Birth Control,Reclipsen,4,13
Birth Control,Lutera,9,14
Birth Control,Nexplanon,6,24
High Blood Pressure,Benicar,8,47
"Diabetes, Type 2",Bydureon,8,79
Birth Control,Tri-Previfem,4,1
Depression,Zoloft,10,74
Depression,Bupropion,10,90
Birth Control,Ethinyl estradiol / levonorgestrel,1,5
Birth Control,Etonogestrel,8,9
"Diabetes, Type 2",Victoza,10,25
"Diabetes, Type 2",Dapagliflozin,9,26
Birth Control,Copper,1,4
Birth Control,Mirena,1,8
Depression,Levomilnacipran,10,77
"Diabetes, Type 2",Insulin glargine,7,15
Depression,Vilazodone,8,13
Birth Control,Etonogestrel,5,7
Birth Control,Ethinyl estradiol / norgestimate,10,15
Depression,Zoloft,8,109
High Blood Pressure,Hydrochlorothiazide / triamterene,2,43
Birth Control,Microgestin Fe 1 / 20,5,6
Birth Control,Falmina,2,5
Birth Control,Implanon,9,0
Birth Control,Ethinyl estradiol / norethindrone,4,5
Depression,Lexapro,6,22
Depression,Trintellix,8,27
Birth Control,Ethinyl estradiol / levonorgestrel,1,2
"Diabetes, Type 2",Dapagliflozin,1,69
Birth Control,Nexplanon,4,1
Depression,Desvenlafaxine,9,66
High Blood Pressure,Lisinopril,8,113
Birth Control,Yaz,7,6
Birth Control,Lo Loestrin Fe,9,17
Depression,Fluoxetine,8,75
Birth Control,NuvaRing,4,15
Birth Control,Nexplanon,10,8
Depression,Fluoxetine,9,23
Birth Control,Portia,1,5
Birth Control,Levonorgestrel,10,14
Depression,Venlafaxine,10,144
Birth Control,Ethinyl estradiol / norethindrone,5,4
Birth Control,Ethinyl estradiol / levonorgestrel,2,4
Birth Control,Mirena,1,4
Birth Control,ParaGard,10,5
Depression,Escitalopram,3,5
Birth Control,Desogestrel / ethinyl estradiol,9,7
Birth Control,Reclipsen,1,4
Depression,Methylphenidate,10,249
Birth Control,Depo-Provera,3,4
Birth Control,Levonorgestrel,1,5
Depression,Bupropion,3,21
Birth Control,Chateal,10,14
Depression,Paroxetine,7,13
Depression,Aripiprazole,10,46
Birth Control,Nexplanon,10,4
Birth Control,Skyla,9,0
Birth Control,Mirena,3,13
Birth Control,Etonogestrel,7,7
Birth Control,Loryna,1,2
Birth Control,Levonorgestrel,9,4
Birth Control,Loestrin 21 1 / 20,9,4
Birth Control,Junel Fe 1.5 / 30,3,2
Birth Control,Minastrin 24 Fe,9,4
Birth Control,Nexplanon,9,7
Depression,St. john's wort,8,40
Birth Control,Loestrin 21 1 / 20,10,9
"Diabetes, Type 2",Novolog,3,32
Birth Control,Ethinyl estradiol / levonorgestrel,4,0
Birth Control,Ethinyl estradiol / norgestimate,1,1
Depression,Pristiq,7,5
Depression,Duloxetine,4,7
Birth Control,Etonogestrel,1,1
Birth Control,Ethinyl estradiol / levonorgestrel,2,2
Birth Control,Levonorgestrel,10,1
Birth Control,Mirena,9,19
Birth Control,TriNessa,10,3
Birth Control,Skyla,1,2
Birth Control,Skyla,10,7
Depression,Escitalopram,5,13
Birth Control,Etonogestrel,10,6
Birth Control,Levonorgestrel,10,3
Birth Control,Levonorgestrel,5,13
Birth Control,Skyla,8,9
Depression,Wellbutrin,9,124
Birth Control,Nexplanon,3,1
Depression,Vilazodone,9,19
Birth Control,Etonogestrel,7,5
Birth Control,Drospirenone / ethinyl estradiol / levomefolate calcium,7,5
High Blood Pressure,Losartan,10,6
Depression,Duloxetine,10,77
Birth Control,Sprintec,1,6
Birth Control,Ethinyl estradiol / levonorgestrel,6,7
Birth Control,Skyla,2,3
Depression,Bupropion,10,6
Birth Control,Ethinyl estradiol / levonorgestrel,4,2
High Blood Pressure,Irbesartan,1,60
Birth Control,Ethinyl estradiol / levonorgestrel,1,10
Birth Control,Mirena,10,9
Birth Control,Etonogestrel,9,2
Birth Control,Ethinyl estradiol / norgestimate,7,46
Birth Control,Ethinyl estradiol / levonorgestrel,9,5
Birth Control,Ortho Tri-Cyclen Lo,5,9
Birth Control,Drospirenone / ethinyl estradiol,1,1
Depression,Deplin,10,117
Birth Control,Etonogestrel,10,4
Birth Control,Implanon,5,3
Birth Control,Skyla,4,4
Depression,Viibryd,5,29
Birth Control,Liletta,5,1
Birth Control,Ethinyl estradiol / levonorgestrel,6,6
Birth Control,Etonogestrel,5,4
Birth Control,Ethinyl estradiol / norgestimate,4,12
Birth Control,Ethinyl estradiol / etonogestrel,3,7
Birth Control,Etonogestrel,3,1
Birth Control,Ethinyl estradiol / norgestimate,9,1
Birth Control,Drospirenone / ethinyl estradiol,10,6
Birth Control,Mononessa,6,5
